iter	Passed	Remaining
658	1203	622
659	1208	622
660	1209	620
661	1210	618
662	1212	616
663	1214	614
664	1215	612
665	1216	610
666	1217	607
667	1219	605
668	1223	605
669	1224	603
670	1225	601
671	1226	598
672	1228	596
673	1230	594
674	1231	592
675	1233	590
676	1236	590
677	1238	588
678	1239	585
679	1240	583
680	1241	581
681	1242	579
682	1243	577
683	1244	575
684	1245	572
685	1246	570
686	1247	568
687	1248	566
688	1252	565
689	1254	563
690	1255	561
691	1257	559
692	1258	557
693	1259	555
694	1261	553
695	1263	551
696	1267	550
697	1269	549
698	1270	547
699	1271	545
700	1273	543
701	1274	540
702	1275	538
703	1276	536
704	1277	534
705	1278	532
706	1283	531
707	1284	529
708	1285	527
709	1286	525
710	1287	523
711	1288	521
712	1290	519
713	1291	517
714	1292	514
715	1292	512
716	1294	510
717	1297	509
718	1299	507
719	1300	505
720	1301	503
721	1302	501
722	1303	499
723	1304	497
724	1305	495
725	1306	493
726	1307	491
727	1308	488
728	1309	486
729	1313	485
730	1314	483
731	1315	481
732	1316	479
733	1317	477
734	1318	475
735	1319	473
736	1321	471
737	1322	469
738	1323	467
739	1324	465
740	1327	464
741	1328	462
742	1329	460
743	1330	457
744	1331	455
745	1333	453
746	1334	451
747	1335	449
748	1336	447
749	1337	445
750	1338	443
751	1339	441
752	1343	440
753	1344	438
754	1345	436
755	1347	434
756	1348	432
757	1349	430
758	1350	428
759	1351	426
760	1353	424
761	1354	422
762	1357	421
763	1358	419
764	1360	417
765	1361	415
766	1362	413
767	1363	411
768	1364	409
769	1365	407
770	1366	405
771	1367	403
772	1368	401
773	1371	400
774	1373	398
775	1374	396
776	1375	394
777	1376	392
778	1377	390
779	1378	388
780	1379	386
781	1380	384
782	1381	382
783	1382	381
784	1384	379
785	1388	377
786	1389	375
787	1390	373
788	1391	372
789	1392	370
790	1393	368
791	1394	366
792	1395	364
793	1396	362
794	1397	360
795	1398	358
796	1399	356
797	1402	354
798	1403	353
799	1404	351
800	1405	349
801	1406	347
802	1407	345
803	1408	343
804	1409	341
805	1410	339
806	1411	337
807	1412	335
808	1416	334
809	1417	332
810	1418	330
811	1419	328
812	1420	326
813	1421	324
814	1422	322
815	1423	321
816	1424	319
817	1426	317
818	1427	315
819	1428	313
820	1432	312
821	1433	310
822	1434	308
823	1435	306
824	1436	304
825	1437	302
826	1439	301
827	1440	299
828	1441	297
829	1442	295
830	1446	294
831	1447	292
832	1448	290
833	1449	288
834	1450	286
835	1451	284
836	1452	282
837	1453	280
838	1454	279
839	1456	277
840	1462	276
841	1464	274
842	1465	272
843	1466	271
844	1467	269
845	1469	267
846	1470	265
847	1472	263
848	1473	262
849	1477	260
850	1478	258
851	1479	256
852	1480	255
853	1481	253
854	1482	251
855	1483	249
856	1484	247
857	1485	245
858	1486	243
859	1487	242
860	1488	240
861	1492	238
862	1493	237
863	1494	235
864	1495	233
865	1496	231
866	1497	229
867	1499	227
868	1500	226
869	1501	224
870	1502	222
871	1506	221
872	1507	219
873	1508	217
874	1509	215
875	1511	213
876	1512	212
877	1514	210
878	1515	208
879	1516	206
880	1517	204
881	1518	203
882	1522	201
883	1523	199
884	1524	198
885	1525	196
886	1526	194
887	1528	192
888	1529	190
889	1530	189
890	1531	187
891	1532	185
892	1534	183
893	1535	182
894	1536	180
895	1537	178
896	1538	176
897	1539	174
898	1540	173
899	1541	171
900	1542	169
901	1543	167
902	1545	165
903	1546	164
904	1549	162
905	1550	160
906	1551	159
907	1552	157
908	1553	155
909	1555	153
910	1556	152
911	1557	150
912	1558	148
913	1559	146
914	1560	144
915	1561	143
916	1565	141
917	1566	139
918	1567	138
919	1568	136
920	1569	134
921	1570	132
922	1571	131
923	1572	129
924	1573	127
925	1574	125
926	1576	124
927	1579	122
928	1580	120
929	1582	119
930	1583	117
931	1584	115
932	1585	113
933	1586	112
934	1587	110
935	1588	108
936	1590	106
937	1591	105
938	1594	103
939	1596	101
940	1597	100
941	1598	98
942	1599	96
943	1600	94
944	1601	93
945	1602	91
946	1603	89
947	1604	88
948	1605	86
949	1609	84
950	1610	82
951	1611	81
952	1612	79
953	1614	77
954	1615	76
955	1616	74
956	1617	72
957	1618	70
958	1620	69
959	1621	67
960	1624	65
961	1625	64
962	1627	62
963	1628	60
964	1628	59
965	1630	57
966	1631	55
967	1632	53
968	1633	52
969	1634	50
970	1635	48
971	1636	47
972	1640	45
973	1641	43
974	1641	42
975	1643	40
976	1644	38
977	1645	37
978	1646	35
979	1647	33
980	1648	31
981	1649	30
982	1650	28
983	1651	26
984	1654	25
985	1656	23
986	1657	21
987	1658	20
988	1659	18
989	1660	16
990	1661	15
991	1662	13
992	1663	11
993	1664	10
994	1665	8
995	1666	6
996	1670	5
997	1671	3
998	1672	1
999	1673	0
